address,business_name,email,numbers,website
"Calabar Road, Garden Street, Old Town, Calabar, Cross River State","Watt Market Old Town, Calabar Cross River State",,,
"Unical Multipurpose Cooperative Building, Calabar, Cross River Nigeria",Unical Bookshop Calabar Cross River Nigeria,,"0802 771 2023,0803 720 8205",
"Ramalan Yero Road, Hayin Mallam Bello Rigasa New Extension, Igabi, Kaduana south Nigeria",UmmuYusrah Valuable Stores Igabi Kaduana south Nigeria,ummuyusrah77@gmail.com,0803 512 7240,
"Margret Epko International Airport, Anantigha, Calabar, Cross River","Nigerian Airspace Management Agency, Calabar Anantigha, Calabar Cross River",rayeni@nama.gov.ng,"0802 311 7517,0809 811 7517",https://www.nama.gov.ng/
"No 1, Dutse Alhaji Street Zone 3 Junction, Dutse, Jigawa Nigeria",Sky Point Grocery Dutse Jigawa Nigeria,,0806 211 3559,
"Yc18 Flat 3 Gida Dubu, Duste, Jigawa State Nigeria",OCT Fashion Shop Duste Jigawa State Nigeria,,0807 486 4123,
"Cross River State Governor�s Office, Hope Waddell Avenue, Calabar, Cross River State",Cross River State Government Calabar Cross River State,info@crossrivergov.ng.com,+234.803.269 1923,http://www.crossriverstate.gov.ng/
"C10/C11 Sani Abacha Way, Dutse, Jigawa State Nigeria",Sahad Stores Ltd Dutse Jigawa State Nigeria,sahadstoresdut@gmail.com,"0803 779 3916,0700 007 2423,0815 089 4676",http://sahadstore.com/
"28, White House Street, Calabar, Cross Rivers Nigeria",The Bold and Beautiful Shoppers Calabar Cross Rivers Nigeria,,0806 798 3630,
"1A Chime Avenue, New Haven, Enugu State, Nigeria","Total Dimension Boutique New Haven Enugu State, Nigeria",,"0803 309 9441,0802 207 6767",
"Amechi Road, off Ebony Paint Road, Awkunanaw, Enugu State",Topland Awkunanaw Enugu State,,,
"Off St. Luke's Methodist Church, Ugwuaji, Enugu State",Priase God Grocery Store Ugwuaji Enugu State,,0806 304 0940,
"7 Church Street, Abakpa Nike, Enugu State",Pamako Multi,,0706 512 8328,
"Jigawa State Government House, Sani Abacha Way, Dutse, Jigawa Nigeria",Jigawa State Government Dutse Jigawa Nigeria,jigawastategovt@gmail.com,064-721007,http://www.jigawastate.gov.ng/
"No 33, Abakaliki Road, Close to Etisalat Office, G.R.A, Enugu, Nigeria","Ovis Stores G.R.A Enugu, Nigeria",ovisstores@gmail.com,0902 454 4486,
"7 O'Connor Street, Asata, Enugu State Nigeria",Ebazaar Asata Enugu State Nigeria,info@ebazaar.com.ng,0809 647 4847,http://ebazaar.com.ng/
"No. 55 Ekpeluchi Avenue, Thinkers Corner, Emene, Enugu State","Ojels The University Mall Thinkers Corner, Emene Enugu State",,0802 272 9255,
"69 Ozubulu Street, Independence Layout, Enugu State",Nazzy Shopping Center Independence Layout Enugu State,,0703 260 3418,
"No 10 Chime Avenue, New Haven, Enugu, Nigeria","Milano Collection New Haven Enugu, Nigeria",,0818 224 9332,
"No 1 North, First Avenue, Trans-Ekulu, Enugu State",Nwokeocha Shoes Trans,,0803 521 9598,
"Ugbodogwu, by RCCG Trinity Sanctuary Parish, Trans-Ekulu, Enugu State",Mama Nzube Stores Trans,,0818 631 4006,
"Off Ekpeluchi Avenue, Thinkers Corner, Enugu State",Jennifer Plaza Thinkers Corner Enugu State,,,
"72, College Road Housing Estate, Abakpa Nike, Enugu State",Ezeagu Super Stores Abakpa Nike Enugu State,,,
"7 Okpara Avenue, Off Garden Avenue, GRA, Enugu State",Garden Plaza GRA Enugu State,,,
"Shop No 19, Unegbe Plaza, New GRA, Trans Ekulu, Enugu, Nigeria","Lichim Stores & Meat Shop Trans Ekulu Enugu, Nigeria",,0703 684 8482,
"Ebeano Tunnel Crossing, Beside Oaklands Entertainment Park, Ogui Road, Enugu State",ELIM Plaza Ogui Road Enugu State,,"0703 508 8557,0803 434 8008,0808 526 0301",
"Shop C1 No 6 Main Market, Ogbete, Enugu State, Nigeria","Home Of Wines And Spirits Ogbete Enugu State, Nigeria",,"0809 304 2013,0703 446 3029",
"Old Enugu-Onitsha Road, Hill Top, Ngwo-Asaa, Enugu State","Ugo Provision Shop Hill Top, Ngwo",,,
"His Grace & Glory Plaza, Agbani Road, Ologo, Coal Camp, Enugu State, Nigeria","Donablex Shopping Center Ologo, Coal Camp Enugu State, Nigeria",,"0806 157 4011,0902 466 1800",
"Godfrey Okoye University, Thinkers Corner, Enugu State",Eze Amaechi Store Thinkers Corner Enugu State,,,
"Plot 169, Independence Layout, Enugu",Derek's Mart Independence Layout Enugu,customercare@derekmart.com,0809 641 8683,
"33 Abakaliki Road, GRA, Enugu State",Chase Mall GRA Enugu State,,,
"Old Abakaliki Road, Thinkers Corner, Enugu State",Ochiri Plaza Thinkers Corner Enugu State,,,
"C2, No 1 Ogbete Main Market, Ogbete, Enugu State",Blessed Olivetex Electronics Ogbete Enugu State,,0806 587 0018,
"No 10 Ogui Road Beside Fidelity Bank, Enugu, Enugu Nigeria",Didi Discount Shop Enugu Enugu Nigeria,jurish4sure@yahoo.com,0803 603 9622,
"120 Nike Road, Abakpa Nike, Enugu State",Divine Providence Stores Abakpa Nike Enugu State,,0803 068 9475,
"47 Mission Avenue, Ugbo Odogwu, Enugu State",234 Stores Trans Ekulu Ugbo Odogwu Enugu State,support@234stores.com,"0814 010 4061,0703 041 7652,0806 907 6459",
"51B Penok Pocket Estate, Old Abakaliki Road, Emene, Enugu State",D & M Plaza Emene Enugu State,,0705 643 1284,
"Shop O 1, No 12 Main Market, Ogbete, Enugu State, Nigeria","Charity Bookshop Ogbete Enugu State, Nigeria",,0803 742 6572,
"3/5, Jim Nwobodo Avenue, Trans Ekulu, Enugu",Viroxy Nigeria Ltd Trans Ekulu Enugu,viroxy.nig@gmail.com,"0908 195 1818,0909 542 4050",https://viroxy.com.ng/
"56 Okpara Avenue, beside Masters Energy, , Enugu State",Slot Enugu  Enugu State,,"0906 208 3615,0807 655 8957",https://slot.ng/
"Nomeh Drive, Nowas, Enugu State",Roban Stores Trans,info@robanstores.com,0818 724 2624,http://www.robanstores.com/
"Plot 483 Rita Ekwueme Ejiogu Street, New GRA, Enugu State Nigeria",RoseWood Mart New GRA Enugu State Nigeria,info@rosewoodnart.com,"0806 632 4664,0808 358 5325,0813 618 5346",https://rosewoodmart.com
"1 Market Road by Harco Filling Station, Off Ogui Road, Enugu State",Konga Retail Store Off Ogui Road Enugu State,help@konga.com,"0700 700 0000,0708 063 5700,0809 460 5555",https://www.konga.com/
"4 Ezillo Avenue, Impala Plaza, Independence Layout, Enugu State",Jumia Enugu Pickup Station Independence Layout Enugu State,,0806 346 2580,https://www.jumia.com.ng/
"Spring Road, Off Diamond Hill Road, Essien Town, Calabar, Cross River State","Sky View Wine & Liquor Essien Town Calabar, Cross River State",,,
"No. 10, Ndidem Usang Iso Road by Okoro-agbor street, Calabar, Cross River",Optical Gallery Calabar Cross River,ikadogu@yahoo.com,0803 666 9927,
"No. 26 Ediba Road After Ecobank by Marian Market, Big Qua Town, Calabar, Cross River state","Onyx Plaza Big Qua Town, Calabar Cross River state",,0802 364 9664,
"Polo Park Amusement Centre, Enugu, Enugu  State",Polo Park Mall Enugu Enugu  State,,"0709 873 1471,0709 873 1472",http://www.finelib.com/cities/enugu/shopping/polo-park-mall
"No 6b Mutete, Ikot Ansa, Calabar, Cross River State","Nearby TV & Electronic Ikot Ansa, Calabar Cross River State",,0902 225 5310,
"Ambo Street, Around Mbukpa Residential District, Calabar South, Cross River",Mbukpa Market Calabar South Cross River,,,
"Along Marian Road, Ndidem Usang Iso Road by Edibe Road, Leopard Town, Calabar, Cross River State","Marian Market Leopard Town, Calabar Cross River State",,,
"172 Goldie Street, Calabar South, Cross River",Knowledge of Truth Bookshop Calabar South Cross River,,"0803 226 0471,0803 620 5937,0805 388 1595",
"Crutech Hall 2 and Hall 3 Shopping Center, Idim Ita, Calabar, Cross River","Oga Benji Shop Idim Ita, Calabar Cross River",,,
"No. 9 Foster Street, Calabar, Cross River",O & E Plaza Calabar Cross River,,,
"Shop H7 Akim Market, Akim Qua Town, Calabar, Cross River","Classic Imports and Gift Shop Akim Qua Town, Calabar Cross River",,0803 508 4986,
"74A Ndidem Usang Iso Road, Calabar, Cross River Nigeria",Calabar Online Watch Store Calabar Cross River Nigeria,,"0906 355 5524,0706 702 6984",
"No 2 Marian Road, Calabar, Cross River Nigeria",Jocliff Household and Gift Shop Calabar Cross River Nigeria,jenukoha@yahoo.com,0803 707 7301,
"Cultural Centre Road, Off Mary Slessor Road, Calabar, Cross River Nigeria",Calabar Mall Calabar Cross River Nigeria,,0708 065 3800,
"Ibesikpo Street, Jeb Road, Nearby Calabar Prisons Afokang Street, Afaha Ibesikpo, Calabar, Cross River","Ibesikpo Market Afaha Ibesikpo, Calabar Cross River",,,
"No. 1B Custom Line, Federal Housing Estate Phase 2 off, Old Odukpani Road, Calabar, Cross Rivers State",HQ Shop Calabar Cross Rivers State,,0817 371 1554,
"Mary Slessor Avenue, Barrack Road, Cultural Centre Road, Calabar, Cross River Nigeria",Audacious Calabar Mall Calabar Cross River Nigeria,customercare@audacious.com.ng,0809 478 4801,
"170 Murtala Mohammed Highway, Calabar, Cross River State",44 Shopz Calabar Cross River State,,0803 762 2568,
"GRA Phase 1, Federal Housing Road, Calabar, Cross River State",Adorn & Glow Calabar Cross River State,adorn.glow@gmail.com,"0806 047 7013,0907 612 2193",
"Free Zone Adiabo, Calabar, Cross River Nigeria",Tinapa Shopping Centre Calabar Cross River Nigeria,,0805 900 1001,http://www.tinapa.com.ng/leisure/modules/news/article.php?storyid=1
"Shop 1 off Dandi Plaza Abuochiche Bekwarra, Calabar, Cross River Nigeria",Somiyegra Shopping Point Calabar Cross River Nigeria,semshoppingmall@gmail.com,"0810 312 8444,0805 433 7794",https://somiyegrashoppingpoint.blogspot.com.ng/
"Big Qua Road, MCC Road, Oqua Street, Calabar, Cross River",Big Qua Shopping Complex Calabar Cross River,,0706 226 1243,
"Precious Trendy Essentials Online Stores, Kaduna South, Kaduna Nigeria",Precious Trendy Essentials Online Stores Kaduna South Kaduna Nigeria,,0803 922 6698,
"Near Makarfi Road, Kawo, Kaduna Nigeria",Nuhu's Provisions Shop Kawo Kaduna Nigeria,,0803 381 3234,
"No 2 Mary Slessor Avenue, Calabar, Cross River Nigeria",Lu Gold Store Calabar Cross River Nigeria,shop@lugold.com,"0809 714 0000,0816 360 0003",https://www.lugoldstore.com/
"No 81/82 IBB Way By Etta Agbor Roundabout, Calabar, Cross Rover State",Jumia Calabar Calabar Cross Rover State,,"0815 484 6645,0915 192 8252",https://www.jumia.com.ng/
"No. 6 Muhammadu Buhari Way, Beside Union bank, Nepa Roundabout, City Centre, Kaduna, Nigeria","NNDC Shopping Mall City Centre Kaduna, Nigeria",,,
"Alkali Road Directly Opposite New GTBank, City Centre, Kaduna, Nigeria","Kaduna Capital Plaza City Centre Kaduna, Nigeria",,0805 100 0506,
"No. 1 Shandam / Wharf Road, Kaduna, Kaduna Nigeria",Sunrise Stores Kaduna Kaduna Nigeria,,"0803 813 9233,0803 687 6242",
"No 21 Balarabe Musa Cl, Narayi, Kaduna, Nigeria","Twinkles Toys Narayi Kaduna, Nigeria",,0803 787 3224,
"No.1 Boba Shopping Complex, Badarawa Road, Badarawa, Kaduna, Nigeria","Boba Shopping Complex Badarawa Kaduna, Nigeria",,,
"Near Masallacin Matasa Mosque, Danwaire Street, Barnawa, Kaduna, Nigeria","Barnawa Market Barnawa Kaduna, Nigeria",,,
"MCC Road, 1st Avenue Ikot Eyo, Near Channel View Hotel, Old Town, Calabar, Cross River State","Shoprite Calabar Old Town, Calabar Cross River State",,01 271 4481,https://www.shoprite.com.ng/
"Sabon Birni Road, Kawo New Extension, Kawo, Kaduna, Nigeria","Ashmo Plaza Kawo Kaduna, Nigeria",,,
"Sabon Birni Road, Kawo New Extension, Kawo, Kaduna, Nigeria","Aminchi Plaza Kawo Kaduna, Nigeria",,,
"Somalia Road, near Epitome Hotel & Suites Ltd, Barnawa, Kaduna, Nigeria","Barnawa Shoping Complex Barnawa Kaduna, Nigeria",,0805 422 5580,
"Lagos Street, Along Kargako Road, Ungwan Shanu, Kaduna, Nigeria","Abubakar Sabo Provision Store Ungwan Shanu Kaduna, Nigeria",,0806 472 5414,
"Suite 8, 3rdFfloor,  Muhammadu Buhari Way (Former WAFF Road),  Beside NUJ Complex, Kaduna, Kaduna Nigeria",Mall for Africa Kaduna Kaduna Nigeria,info@mallforafrica.com,"0909 700 0444,0700 040 0400",https://www.mallforafrica.com/
"Suite 028 Legacy House, Mogadishu Layout, Kaduna, Nigeria",Kadamall Kaduna Nigeria,service@kadamall.com,0902 520 0005,https://www.kadamall.com.ng/
"Macostine Consult Outlet, Owerri, lmo  State Nigeria",Macostine Consult Owerri lmo  State Nigeria,macostineconsult@gmail.com,0815 344 5532,
"No. 2 School Road, Ungwan Rimi Police Station, Kawo, Kaduna, Nigeria","Alh Musa Payless Kawo Kaduna, Nigeria",,,
"ICAPS Complex, Egbu Road, Owerri, lmo Nigeria",Imo Jobs Online & Unemployment Database Owerri lmo Nigeria,imostatejobs@gmail.com,0803 870 2075,
"No 9 Uratta Street, Off Wetheral Road, Owerri, lmo Nigeria",SOL Nigeria Owerri lmo Nigeria,,"0809 615 0000,0701 012 6408",https://www.solnigeria.com/Pages/services
"Federal Secretariat Complex Ground Floor Port Harcourt Road, Owerri, Imo State Nigeria",National Directorate of Employment Owerri Imo State Nigeria,,0803 337 0393,https://nde.gov.ng/contact/
"1A Yakubu Gowon Way,  by Leventis Roundabout, Kaduna, Nigeria",Kara.com.ng Kaduna Nigeria,sales_kara@royalcoast-group.com,"0909 190 9269,0815 357 2966,0704 491 3736",https://www.kara.com.ng
"NO. 12 Bishop S.S. Nwaogu Crescent Adjacent New Owerri Sports Club, Concorde Avenue New Owerri, Owerri, Nigeria, Imo State, Nigeria","Federal Marriage Registry Owerri Concorde Avenue New Owerri, Owerri, Nigeria Imo State, Nigeria",info@ecitibiz.interior.gov.ng,"0803 379 5450,0803 865 7659",https://ecitibiz.interior.gov.ng/
"Studio 1 Oduobi Crescent lkenegbu Layout, Owerri, lmo Nigeria",Zanders FM 105.7 Owerri lmo Nigeria,info@zandersfm.com,"0816 063 6187,0807 527 1928",
"No 9/11 Madumere Street, Owerri, lmo Nigeria",Nigerian Horn Newspapers Owerri lmo Nigeria,,0803 709 0645,
"Gold 89.3 Fm Studio Center, Owerri, lmo Nigeria",Gold 89.3 Fm Owerri lmo Nigeria,,"0816 000 0893,0803 556 9210",
"Imo Concorde Hotel, Owerri, Imo State",Excel Magazine International Owerri Imo State,excelmag1@gmail.com,0803 389 9184,
"19A, Industrial Layout, Onitsha Road, Owerri Municipal, lmo Nigeria",The Leader Newspaper Owerri Municipal lmo Nigeria,info@theleaderassumpta.com,,https://theleaderassumpta.com/about-us/
"The Reach 104.9 FM Studio, Owerri, lmo Nigeria",The Reach 104.9 FM Owerri lmo Nigeria,info@thereachfm.com,0909 944 1047,https://www.thereach.ng/
"Imo State Government, Douglas House, Owerri, Imo State",IMO State Government Owerri Imo State,info@imostate.gov.ng,"+234 806 661 5956,+234 811 620 3362",http://www.imostate.gov.ng/
"Don K&E junction MCC Uratta Road Owerri, Imo State Nigeria., Owerri, Imo State, Nigeria","The Eastern Lead Express Owerri, Imo State Nigeria",info@theleadexpress.com,8038686387,
"IBC Orient (94.4) FM & TV Owerri Municipal, Owerri, Imo State, Nigeria","IBC Orient (94.4) FM & TV Owerri Imo State, Nigeria",ibcorientfmtv@gmail.com,0803 358 7619,http://ibc.ng/about/
"Plot P12, Public Building Layout, New Owerri Capital Territory, Imo State Nigeria",Hot FM Owerri New Owerri Capital Territory Imo State Nigeria,owerri@hotfm.ng,0809 444 0983,http://hotfm.ng/owerri/
"Km 15 Owerri-Umuahia Road, Azaraegbelu, Owerri, Imo State Nigeria",Heartland 100.5 FM Owerri Imo State Nigeria,baszoma@yahoo.com,"0803 651 7070,0806 356 9474,0803 740 5589",http://radionigeriaenugu.com/hlfm/
"No 19/ 23 Wetheral Road, Owerri, lmo Nigeria",Shangomart Owerri lmo Nigeria,info@shangomart.com,0806 137 0712,
"Owerri - Orlu Road, Amakohia-Akwakuma, Owerri, Imo State, Nigeria",International Market Owerri Amakohia,,,
"116 Item Street (Philips House), Ikenegbu Owerri, Imo State Nigeria",Imo Trumpeta Ikenegbu Owerri Imo State Nigeria,keghcom@yahoo.com,"0803 669 5810,0803 327 1229,0806 660 5375",http://www.imotrumpeta.com/
"MCC Road, Opp. Graceland Medical Centre, Owerri, Imo Nigeria",House Of Freeda Owerri Imo Nigeria,info@houseoffreeda.com,"0816 783 9555,0817 393 1672,0702 607 6993",
"No 1 Farmers Market Avenue, Owerri, Imo State Nigeria",Farmers Market Nigeria Owerri Imo State Nigeria,info@farmersmarketnigeria.com,"0815 388 0917,0908 541 9429,0083 700 3981",
"21 Samek Road opposite Imo State University, Owerri, Imo state",DiDiscent Owerri Imo state,babymontour@gmail.com,0809c304 5855,
"Dee Sylvester Anosike Road, Umuodu, Mbieri, Owerri, Imo State, Nigeria","Dee Anosike Market Umuodu, Mbieri, Owerri Imo State, Nigeria",,,
"No 48/56 Wetheral Road, Owerri, lmo Nigeria",Darling 107.3 FM Owerri lmo Nigeria,info@darlingfm.ng,0809 444 1073,http://www.darlingfm.ng/
"Umuodu Road, Amakohia-Akwakuma, Obilokwu Mbieri, Imo State, Nigeria",Claste Integrated Ventures Amakohia,,0813 839 2204,
"78 Orlu Road, Amakohia-Akwakuma, Owerri, Imo State, Nigeria",Amakohia Market Amakohia,,0803 729 7315,
"Egbu Road, Owerri, Imo State Nigeria",Shoprite Owerri Owerri Imo State Nigeria,shopriteowerrimall@gmail.com,01 271 4484,https://www.shoprite.com.ng/
"Plot C/9 By Ama Wire, Orji Town Owerri North LGA, Imo State, Nigeria","SaveMore Market Orji Town Owerri North LGA Imo State, Nigeria",info@savemoreng.com,"0814 237 7469,0706 895 8294",http://savemoreng.com/
"Plot 12b, Youth Center Layout, Concord Hotel Boulevard, New Owerri, Imo Nigeria",Priceless Stores New Owerri Imo Nigeria,info@pricelessstores.com,"0813 421 0901,0908 132 6966,0808 033 8038",http://pricelessstores.com/
"No 65B Mbaise Road, Owerri, lmo Nigeria",Owerri Konga Retail Store Owerri lmo Nigeria,,0802 834 2970,https://www.konga.com/stores
"CR9 Arugo Layout, Custom Gate Bus-stop, Owerri-Onitsha Road, Owe, Owerri, Imo",Nawewee Marketplace Owerri Imo,mike@nawewee.com,0808 153 1553,https://www.nawewee.com
"MiM - My Internet Mall, Owerri, lmo Nigeria",MiM,official.mimng@gmail.com,"0703 690 0452,0802 258 4165",http://www.mimng.ml/
"No 32 Ekwema Street, Ikenegbu Layout, Owerri, Imo Nigeria",Leedel Superstores Owerri Imo Nigeria,leedelsuperstores@gmail.com,0810 066 6170,http://ledelstores.com/
"Plot 172 Housing Area 'A' New Owerri Layout, behind Ideal Suites Ltd, New Owerri, Owerri, Imo State, Nigeria","Jumia Owerri Pickup Station New Owerri, Owerri Imo State, Nigeria",,0810 374 0015,https://www.jumia.com.ng/
"50 St. Micheal's, Aba, Abia State Nigeria",Vasani Agricultural Consultancy Aba Abia State Nigeria,,8101014245,
"No 4 Chief Nnamani Close Federal Housing Estate Opobo Road, Aba, Abia Nigeria",RSA Grasscutter Farm Aba Abia Nigeria,,0706 302 6911,
"24 Adindu, Aba, Abia State Nigeria",Mikon Farm Industry Aba Abia State Nigeria,,"803,491,397,308,037,000,000",
"No 1 Ubaobasi Street off MCC, Aba, Abia Nigeria",Euna Continental Company Ltd Aba Abia Nigeria,,0803 307 3931,
"221 Clifford Road by East, Aba, Abia Nigeria",Chysdd Feeds Enterprise Aba Abia Nigeria,,0803 868 4401,
"No 3 Egbu Road, Owerri, lmo Nigeria",Fouani Store Owerri lmo Nigeria,owerri.showroom@fouani.com,0810 7539 590,https://www.fouanistore.com/
"Shop 23, Owerri Mall, Egbu Road, Owerri, lmo Nigeria",Best Mobile Store Owerri lmo Nigeria,info@bestmobileltd.com,"0809 162 2233,0812 844 0000,0810 300 0071",https://www.bestmobileltd.com/contact-us.html
"14 Port Harcourt Rd, Ohabiam, Aba, Abia state, Aba, Abia state Nigeria",Achanwamba Farm Aba Abia state Nigeria,achanwambafarms@gmail.com,0703 769 0075,
"No 14 Dike Close Off 42 CO Emeka W/B Housing Estate, Aba, Abia State, Nigeria","Balm Of Gilead International Schools Aba Abia State, Nigeria",,0706 697 6359,
"Mbutu Isiahia, Aba, Abia State, Nigeria","Archdeacon Joseph College Aba Abia State, Nigeria",,"0803 317 5180,0803 317 5180",
"Holy Ghost Village, No. 1, Chief Nwosu Drive, Umuobu-Ovom 1, Obingwa, Aba, Abia State","Amarachi Academy of Global Languages and Technology Obingwa, Aba Abia State",,"0908 097 0736,0806 074 6787",
"153 Aba-Owerri Road, Abayi, Aba, Abia State, Nigeria","Living Word Academy Abayi, Aba Abia State, Nigeria",Office@lwmng.org,0803 799 9992,http://livingword.onpsweb.com
"27, 36, 38a and 38b Ekenna Avenue, off Okigwe Road,, Abia, Abia State Nigeria",Royalties International Schools Abia Abia State Nigeria,info@royaltiesschools.com,"81,044,481,680,705,000,000,000,000,000,000",http://royaltiesschools.com
"Umungasi, Aba, Abia State Nigeria",Cor Mariae Girls' Comprehensive Secondary School Aba Abia State Nigeria,info@cormygirls.com,8062990071,http://www.cormygirls.com/
"12 Industrial Layout, Aba, Abia State Nigeria",Livestock Feeds Plc Aba Abia State Nigeria,info@livestockfeedsplc.com,8077281600,http://www.livestockfeedsplc.com/
"No 9, Alh. Animashahun Street, Ring Road, Ibadan, Oyo State Nigeria",Ojashop Ibadan Oyo State Nigeria,contact@ojashop.com,0807 155 1212,
"NFJ House Akinjole Moloju, Oluwo, Ibadan, Oyo State, Nigeria","NFJ Global Oluwo, Ibadan Oyo State, Nigeria",,0802 884 7213,
"8, binukonu, ajetunmobi, Agbowo, Ibadan, Oyo","Jumlaj Super Stores Agbowo, Ibadan Oyo",oriowoolajumoke1@yahoo.com,0708 761 6174,
"No 1, Emiola Close Agbaje Estate off, Ijokodo road, Ibadan, Oyo Nigeria",Fantabulous Trades Nigeria Ibadan Oyo Nigeria,fantabuloustrades.ng@gmail.com,"0816 603 1426,0701 052 1176,09032287179",
"Alabede Isebo, Alakia Road, Ibadan, Oyo State, Nigeria","Eebudola Store Ibadan Oyo State, Nigeria",,"0803 383 1091,0909 601 0570",
"General Gas - Iyana Church Road, Akobo, Ibadan, Oyo State, Nigeria","Esmak Plaza Ibadan Akobo, Ibadan Oyo State, Nigeria",sales@esmaktech.com,"0705 786 5291,0905 491 9644,0818 934 2246",
"8 Uba Street Off Eronwu by Brass Aba North, Aba, Abia State Nigeria",Adonai College Aba Aba Abia State Nigeria,admin@adssaba.com,7035394788,http://adssaba.com/
"Alakia Isabo Road, Ibadan, Oyo State, Nigeria","Derem Shopping Complex Ibadan Oyo State, Nigeria",,,
"Ibadan-Ife Express Road, Ibadan, Oyo State, Nigeria","Bola Ige International Market Ibadan Oyo State, Nigeria",,,
"Agbeni, Ibadan, Oyo State, Nigeria","Agbeni Market Ibadan Oyo State, Nigeria",,0705 335 1510,
"Agbaje Road, Ibadan, Oyo State, Nigeria","Agbaje Market Ibadan Oyo State, Nigeria",,,
"Dugbe Alawo, Ibadan, Oyo State, Nigeria","1st Ogunpa International Market Ibadan Oyo State, Nigeria",,,
"303 Aba-Owerri Road, Abayi Aba, Abia State Nigeria",Havard Wilson College of Education Abayi Aba Abia State Nigeria,admin@havardwilsoncollege.com,7035209118,http://www.havardwilsoncollege.com/havardwilsoncollege/Home.aspx
"Basorun Road, Ibadan, Oyo State, Nigeria","Basorun Market Ibadan Oyo State, Nigeria",,0803 532 8465,
"Cnr Bank Road and Liebu Bypass, Dugbe District, Ibadan, Oyo State, Nigeria","Shoprite Holdings Ibadan Oyo State, Nigeria",,02 291 2215,http://www.shoprite.com.ng
"Shop 2, Students Union Building, University Of Ibadan-Ajibode Road, Ibadan, Oyo State, Nigeria","Onilu Prime Ibadan Oyo State, Nigeria",info@onilugroup.com,"0809 100 0064,0818 100 0064",http://onilugroup.com/
"28, Alao Akala Way, Akobo Ojunrin, Ibadan, Oyo State, Nigeria","Kennel Pride Ibadan Oyo State, Nigeria",hello@kennelpride.com,0818 246 3630,http://kennelpride.com
"Bodija Market Road, Ibadan, Oyo State, Nigeria","Joke Plaza Ibadan Oyo State, Nigeria",jokeplazang@gmail.com,"0803 334 5963,0818 295 5934,0808 130 6184",https://www.jokeplazang.com/
"50 Jericho Street, Jericho, Ibadan, Oyo State, Nigeria","Foodco Jericho Jericho, Ibadan Oyo State, Nigeria",info@foodcoonline.com,0813 233 1101,https://foodcoonline.com/
"Merica Foods - No 5 Ladoke Akintola Street, New Bodija, Jericho, Ibadan Oyo State",Abebi Foods Jericho Ibadan Oyo State,info@abebifoods.com.ng,"0808 062 3556,0802 388 3678,0705 708 8043",http://abebifoods.com.ng
"Shop B, Suite 27 & 28, Moore Shopping Complex, Beside Fijabi Electronics 2, Onireke Road, Dugbe Ibadan, Oyo State, Nigeria","Darul Rahmat Resources Ltd Dugbe Ibadan Oyo State, Nigeria",info@darulrahmat.com,"0805 057 2666,0803 456 4082",https://darulrahmat.com/
"Federal Government Secretariat 2nd Floor, Sani Abacha Road, Dutse, Jigawa Nigeria",National Directorate of Employment Dutse Jigawa Nigeria,,064-721067,
"3rd Floor, Federal Government Secretariat, Kiyawa Road, Dutse, Jigawa Nigeria",National Open University Of Nigeria Dutse Jigawa Nigeria,,"806,343,515,308,028,000,000",
"No.1YC2, Yadi, Gida Dubu, Dutse, Jigawa",Rah,mannitsa@gmail.com,+234 806 161 7521,
